,loss,params,iteration,estimators
37,0.23322473006336464,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6637984979885961, 'learning_rate': 0.02794330229317577, 'min_child_samples': 265, 'num_leaves': 49, 'reg_alpha': 0.22067580336820872, 'reg_lambda': 0.8166094249733161, 'subsample_for_bin': 20000, 'subsample': 0.8994568683562948}",274,110
38,0.23325720745870515,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.633917410070353, 'learning_rate': 0.027500158834838834, 'min_child_samples': 255, 'num_leaves': 88, 'reg_alpha': 0.8336392686647897, 'reg_lambda': 0.3382099483910849, 'subsample_for_bin': 240000, 'subsample': 0.6554573848766316}",515,115
39,0.23325988750962834,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6482201724224972, 'learning_rate': 0.020687721095692994, 'min_child_samples': 260, 'num_leaves': 70, 'reg_alpha': 0.09604220044456568, 'reg_lambda': 0.9537999244205901, 'subsample_for_bin': 240000, 'subsample': 0.5002887615995703}",875,132
40,0.23332748086090427,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6219504091490403, 'learning_rate': 0.023178046961460086, 'min_child_samples': 260, 'num_leaves': 68, 'reg_alpha': 0.13852536787332087, 'reg_lambda': 0.9164765960493191, 'subsample_for_bin': 280000, 'subsample': 0.5603428200426953}",796,123
41,0.23334680414019648,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6175033637791411, 'learning_rate': 0.021298927891337277, 'min_child_samples': 240, 'num_leaves': 64, 'reg_alpha': 0.09859036784761463, 'reg_lambda': 0.906719795378792, 'subsample_for_bin': 260000, 'subsample': 0.5846334212578973}",790,151
42,0.23335827789795638,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6741669858116778, 'learning_rate': 0.02259897770589925, 'min_child_samples': 250, 'num_leaves': 100, 'reg_alpha': 0.17041106660711494, 'reg_lambda': 0.7932784420751778, 'subsample_for_bin': 20000, 'subsample': 0.9027639180962017}",566,148
43,0.23337537808061481,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6318621277500245, 'learning_rate': 0.02290010199361103, 'min_child_samples': 275, 'num_leaves': 76, 'reg_alpha': 0.9168989737506371, 'reg_lambda': 0.20673505685547466, 'subsample_for_bin': 240000, 'subsample': 0.6047597430768699}",406,132
44,0.2333846321058215,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6007391200720007, 'learning_rate': 0.010932646731556294, 'min_child_samples': 245, 'num_leaves': 65, 'reg_alpha': 0.27702056943143966, 'reg_lambda': 0.9296207233579847, 'subsample_for_bin': 120000, 'subsample': 0.9200970915535355}",70,294
45,0.23340234847592023,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6101382918838082, 'learning_rate': 0.023364572772212155, 'min_child_samples': 210, 'num_leaves': 87, 'reg_alpha': 0.8219475873615744, 'reg_lambda': 0.40285985896626825, 'subsample_for_bin': 200000, 'subsample': 0.7328510178274965}",489,173
46,0.2334161412066127,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.712157457684317, 'learning_rate': 0.029189060868770253, 'min_child_samples': 205, 'num_leaves': 45, 'reg_alpha': 0.16608720174127553, 'reg_lambda': 0.31409398301291697, 'subsample_for_bin': 220000, 'subsample': 0.8787290974017923}",212,108
