,loss,params,iteration,estimators
28,0.2362161804766476,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 135, 'learning_rate': 0.005112013431877946, 'subsample_for_bin': 180000, 'min_child_samples': 225, 'reg_alpha': 0.9183673469387754, 'reg_lambda': 0.7959183673469387, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.9696969696969697}",54,631
29,0.23622232609132754,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 67, 'learning_rate': 0.02034052664495012, 'subsample_for_bin': 60000, 'min_child_samples': 200, 'reg_alpha': 0.836734693877551, 'reg_lambda': 0.4897959183673469, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6868686868686869}",922,158
30,0.23623065050891257,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 30, 'learning_rate': 0.007286914891341039, 'subsample_for_bin': 260000, 'min_child_samples': 280, 'reg_alpha': 0.02040816326530612, 'reg_lambda': 0.836734693877551, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.5404040404040404}",365,152
31,0.23628655648330676,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 138, 'learning_rate': 0.04336239313022275, 'subsample_for_bin': 200000, 'min_child_samples': 220, 'reg_alpha': 0.12244897959183673, 'reg_lambda': 0.5510204081632653, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7070707070707071}",516,62
32,0.2363214293844147,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 84, 'learning_rate': 0.0073138720894932565, 'subsample_for_bin': 160000, 'min_child_samples': 190, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.9591836734693877, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6717171717171717}",975,153
33,0.236401041754857,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 102, 'learning_rate': 0.006743211172482277, 'subsample_for_bin': 140000, 'min_child_samples': 185, 'reg_alpha': 0.9795918367346939, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.5606060606060606}",736,22
34,0.2364544207439978,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 146, 'learning_rate': 0.07112203463171084, 'subsample_for_bin': 180000, 'min_child_samples': 150, 'reg_alpha': 0.9795918367346939, 'reg_lambda': 0.3061224489795918, 'colsample_bytree': 0.6, 'subsample': 0.6868686868686869}",874,18
35,0.23654221147485666,"{'class_weight': 'balanced', 'boosting_type': 'goss', 'num_leaves': 148, 'learning_rate': 0.005363392912759854, 'subsample_for_bin': 200000, 'min_child_samples': 220, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.16326530612244897, 'colsample_bytree': 0.7777777777777778, 'subsample': 1.0}",510,188
36,0.23665955677564532,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 68, 'learning_rate': 0.009127822372082045, 'subsample_for_bin': 140000, 'min_child_samples': 145, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.8571428571428571, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.5050505050505051}",13,162
37,0.2366919963250783,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 109, 'learning_rate': 0.02464635520590413, 'subsample_for_bin': 180000, 'min_child_samples': 380, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.6938775510204082, 'colsample_bytree': 0.6, 'subsample': 0.5505050505050505}",389,93
38,0.2367012315675011,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 60, 'learning_rate': 0.04466245089743304, 'subsample_for_bin': 240000, 'min_child_samples': 215, 'reg_alpha': 0.8979591836734693, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.6, 'subsample': 0.595959595959596}",15,75
39,0.23671457883784697,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 129, 'learning_rate': 0.008140547350944652, 'subsample_for_bin': 180000, 'min_child_samples': 95, 'reg_alpha': 0.8571428571428571, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.6, 'subsample': 1.0}",538,22
40,0.23673102414613756,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 89, 'learning_rate': 0.005112013431877946, 'subsample_for_bin': 260000, 'min_child_samples': 220, 'reg_alpha': 0.061224489795918366, 'reg_lambda': 0.5510204081632653, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.7878787878787878}",527,147
41,0.2367318231152935,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 118, 'learning_rate': 0.005606393512976024, 'subsample_for_bin': 140000, 'min_child_samples': 280, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.5918367346938775, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.7727272727272727}",355,189
